Feature,Model,Importance
X_pop,DNN,0.005242700436299636
X_sent_mean,DNN,1.0
X_sent_skew,DNN,0.565766691158102
X_sent_std,DNN,0.22524317779250283
X_sim,DNN,0.007319742918631981
has_Alcohol,DNN,0.010720595165760283
has_HappyHour,DNN,0.003776235030727261
has_OutdoorSeating,DNN,0.007291484752245904
is_American,DNN,0.010799424036325103
is_Barbeque,DNN,0.0005445482637225378
is_Breakfast_and_Brunch,DNN,0.0
is_Burgers,DNN,0.000560419159659417
is_Chinese,DNN,0.0
is_Coffee_Tea_Drinks,DNN,0.0019517769384717874
is_Delivery,DNN,0.0017353940344388703
is_Dessert_Baking,DNN,0.00013604386251464111
is_GoodForGroups,DNN,0.007577888292327784
is_GoodForKids,DNN,0.0037776027869536773
is_Greek,DNN,0.0010661859125379607
is_Indian,DNN,0.0
is_Italian,DNN,0.0010698091756807632
is_Japanese,DNN,0.00042524999482536054
is_Korean,DNN,0.0
is_Mediterranean,DNN,0.0
is_Mexican,DNN,0.0
is_Other,DNN,0.0
is_Pizza,DNN,0.0014575149599360385
is_Sandwiches,DNN,0.002257289831226511
is_Seafood,DNN,0.00024048836970581958
is_Steakhouses,DNN,0.0
is_Sushi,DNN,0.0
is_TakeOut,DNN,0.0010648233480836777
is_Thai,DNN,0.001419969107908897
is_Vietnamese,DNN,0.00014645294475842198
is_WheelchairAccessible,DNN,0.0029218554523125695
neighborhood_type,DNN,0.0034086209410169118
X_pop,OLS,0.0008300606079807183
X_sent_mean,OLS,0.9999999999999999
X_sent_skew,OLS,0.010353301623255273
X_sent_std,OLS,0.054355542456608015
X_sim,OLS,0.0006623953839373973
has_Alcohol,OLS,0.004575533796338525
has_HappyHour,OLS,0.002708526007444175
has_OutdoorSeating,OLS,0.0011388936854307805
is_American,OLS,0.004546563102393627
is_Barbeque,OLS,0.0002689670839111973
is_Breakfast_and_Brunch,OLS,0.00010645317341815709
is_Burgers,OLS,0.00022618113527936293
is_Chinese,OLS,4.877801947823798e-05
is_Coffee_Tea_Drinks,OLS,0.0005717331000075368
is_Delivery,OLS,0.00020957054590544483
is_Dessert_Baking,OLS,0.0005683081549720429
is_GoodForGroups,OLS,0.0036173743172591795
is_GoodForKids,OLS,0.0005657641933550976
is_Greek,OLS,0.0005148490907087899
is_Indian,OLS,0.0
is_Italian,OLS,0.00048764816562568074
is_Japanese,OLS,0.00022312910889611692
is_Korean,OLS,0.00028092938061264586
is_Mediterranean,OLS,3.13470393117433e-05
is_Mexican,OLS,0.00035463349329010866
is_Other,OLS,0.0002490492752554781
is_Pizza,OLS,0.0013788474009792362
is_Sandwiches,OLS,0.0008375850135018578
is_Seafood,OLS,0.0002496501662294552
is_Steakhouses,OLS,0.0004925876270395753
is_Sushi,OLS,0.0002629966978564061
is_TakeOut,OLS,0.0003126181753765298
is_Thai,OLS,0.00014826376349869757
is_Vietnamese,OLS,0.0002640425660679172
is_WheelchairAccessible,OLS,0.001178769096474722
neighborhood_type,OLS,0.0004016887499007115
X_pop,XGBoost,0.008878920251912583
X_sent_mean,XGBoost,1.0000000000000002
X_sent_skew,XGBoost,0.1924430385777599
X_sent_std,XGBoost,0.08120555563808195
X_sim,XGBoost,0.008287859774392916
has_Alcohol,XGBoost,0.006544192589601706
has_HappyHour,XGBoost,0.0037110276910737308
has_OutdoorSeating,XGBoost,0.00206593646954583
is_American,XGBoost,0.008211076170048449
is_Barbeque,XGBoost,0.0003375805057444346
is_Breakfast_and_Brunch,XGBoost,0.0002582403922411219
is_Burgers,XGBoost,0.000287837102669814
is_Chinese,XGBoost,0.00012171141624037218
is_Coffee_Tea_Drinks,XGBoost,0.0004669607851732853
is_Delivery,XGBoost,0.000689686542338508
is_Dessert_Baking,XGBoost,0.00027511043620581313
is_GoodForGroups,XGBoost,0.0033178309536983147
is_GoodForKids,XGBoost,0.0019297571689387651
is_Greek,XGBoost,0.0007428629877267447
is_Indian,XGBoost,0.000320329986873768
is_Italian,XGBoost,0.0005162145721742651
is_Japanese,XGBoost,0.00047114116683285554
is_Korean,XGBoost,0.00025851974715443036
is_Mediterranean,XGBoost,0.00044505193293283577
is_Mexican,XGBoost,0.0006385502017599929
is_Other,XGBoost,0.0
is_Pizza,XGBoost,0.0015393667184742965
is_Sandwiches,XGBoost,0.0006266745262589488
is_Seafood,XGBoost,0.0004818879973241815
is_Steakhouses,XGBoost,0.0005755152867906359
is_Sushi,XGBoost,0.0004664625607502945
is_TakeOut,XGBoost,0.0004600873560016404
is_Thai,XGBoost,3.162080050131882e-05
is_Vietnamese,XGBoost,0.00020376780139748027
is_WheelchairAccessible,XGBoost,0.001175264792456914
neighborhood_type,XGBoost,0.001103985511615204
